AccountId,TransactionDate,TransactionDate,EffectiveDate,DueDate,TotalAmountWithTax,ImpactAmount,ResultingBalance,CurrencyIsoCode,FinanceSystemTransactionNumber,EventType,EventAction,ReferenceEntityId,ReferenceEntityType,SourceEntityId,DestinationEntityId,Subtotal,TaxAmount,TotalAmountWithTax,ChargeAmount,AdjustmentAmount,EffectiveDate,DueDate,OriginalEventType,OriginalEventAction
001bm00001jIHPxAAO,2026-03-11T00:00:00.000+0000,3/11/2026,3/11/2026,3/15/2026,1300,1300,33200,INR,FS-TRX-1011,Allocated,"	
Pay debit memo line",a04bm000005oomwAAA,Payment,a04bm000005oomwAAA,0aQbm0000002BCREA2,1300,0,1300,0,0,2026-03-11T00:00:00.000+0000,2026-03-15T00:00:00.000+0000,Allocated,Pay debit memo line
001bm00001jIHPyAAO,2026-03-12T00:00:00.000+0000,3/12/2026,3/12/2026,3/16/2026,220,220,32980,INR,FS-TRX-1012,Allocated,"	
Pay debit memo line",a04bm000005oomxAAA,Payment,a04bm000005oomxAAA,0aQbm0000002BCSEA2,220,0,220,0,0,2026-03-12T00:00:00.000+0000,2026-03-16T00:00:00.000+0000,Allocated,Pay debit memo line
001bm00001jIHPzAAO,2026-03-13T00:00:00.000+0000,3/13/2026,3/13/2026,3/17/2026,560,560,32420,INR,FS-TRX-1013,Allocated,"	
Pay debit memo line",a04bm000005oomyAAA,Payment,a04bm000005oomyAAA,0aQbm0000002BCTEA2,560,0,560,0,0,2026-03-13T00:00:00.000+0000,2026-03-17T00:00:00.000+0000,Allocated,Pay debit memo line
001bm00001jIHQ0AAO,2026-03-14T00:00:00.000+0000,3/14/2026,3/14/2026,3/18/2026,780,780,31640,INR,FS-TRX-1014,Allocated,"	
Pay debit memo line",a04bm000005oomzAAA,Payment,a04bm000005oomzAAA,0aQbm0000002BCUEA2,780,0,780,0,0,2026-03-14T00:00:00.000+0000,2026-03-18T00:00:00.000+0000,Allocated,Pay debit memo line
001bm00001jIHQ1AAO,2026-03-15T00:00:00.000+0000,3/15/2026,3/15/2026,3/19/2026,95,95,31545,INR,FS-TRX-1015,Allocated,"	
Pay debit memo line",a04bm000005oon0AAA,Payment,a04bm000005oon0AAA,0aQbm0000002BCVEA2,95,0,95,0,0,2026-03-15T00:00:00.000+0000,2026-03-19T00:00:00.000+0000,Allocated,Pay debit memo line
001bm00001jIHQ2AAO,2026-03-16T00:00:00.000+0000,3/16/2026,3/16/2026,3/20/2026,4050,4050,27495,INR,FS-TRX-1016,Allocated,"	
Pay debit memo line",a04bm000005oon1AAA,Payment,a04bm000005oon1AAA,0aQbm0000002BCWEA2,4050,0,4050,0,0,2026-03-16T00:00:00.000+0000,2026-03-20T00:00:00.000+0000,Allocated,Pay debit memo line
001bm00001jIHQ3AAO,2026-03-17T00:00:00.000+0000,3/17/2026,3/17/2026,3/21/2026,120,120,27375,INR,FS-TRX-1017,Allocated,"	
Pay debit memo line",a04bm000005oon2AAA,Payment,a04bm000005oon2AAA,0aQbm0000002BCXEA2,120,0,120,0,0,2026-03-17T00:00:00.000+0000,2026-03-21T00:00:00.000+0000,Allocated,Pay debit memo line
001bm00001jIHQ4AAO,2026-03-18T00:00:00.000+0000,3/18/2026,3/18/2026,3/22/2026,25000,25000,2375,INR,FS-TRX-1018,Allocated,"	
Pay debit memo line",a04bm000005oon3AAA,Payment,a04bm000005oon3AAA,0aQbm0000002BCYEA2,25000,0,25000,0,0,2026-03-18T00:00:00.000+0000,2026-03-22T00:00:00.000+0000,Allocated,Pay debit memo line
001bm00001jIHQ5AAO,2026-03-19T00:00:00.000+0000,3/19/2026,3/19/2026,3/23/2026,15,15,2360,INR,FS-TRX-1019,Allocated,"	
Pay debit memo line",a04bm000005oon4AAA,Payment,a04bm000005oon4AAA,0aQbm0000002BCZEA2,15,0,15,0,0,2026-03-19T00:00:00.000+0000,2026-03-23T00:00:00.000+0000,Allocated,Pay debit memo line
001bm00001jIHQ6AAO,2026-03-20T00:00:00.000+0000,3/20/2026,3/20/2026,3/24/2026,9999.99,9999.99,-7639.99,INR,FS-TRX-1020,Allocated,"	
Pay debit memo line",a04bm000005oon5AAA,Payment,a04bm000005oon5AAA,0aQbm0000002BCaEAM,9999.99,0,9999.99,0,0,2026-03-20T00:00:00.000+0000,2026-03-24T00:00:00.000+0000,Allocated,Pay debit memo line
001bm00001jIHQ7AAO,2026-03-21T00:00:00.000+0000,3/21/2026,3/21/2026,3/25/2026,450,450,-8089.99,INR,FS-TRX-1021,Allocated,"	
Pay debit memo line",a04bm000005oon6AAA,Payment,a04bm000005oon6AAA,0aQbm0000002BCbEAM,450,0,450,0,0,2026-03-21T00:00:00.000+0000,2026-03-25T00:00:00.000+0000,Allocated,Pay debit memo line
001bm00001jIHQ8AAO,2026-03-22T00:00:00.000+0000,3/22/2026,3/22/2026,3/26/2026,60,60,-8029.99,INR,FS-TRX-1022,Allocated,"	
Pay debit memo line",a04bm000005oon7AAA,Payment,a04bm000005oon7AAA,0aQbm0000002BCcEAM,60,0,60,0,0,2026-03-22T00:00:00.000+0000,2026-03-26T00:00:00.000+0000,Allocated,Pay debit memo line
001bm00001jIHQ9AAO,2026-03-23T00:00:00.000+0000,3/23/2026,3/23/2026,3/27/2026,780.5,780.5,-7249.49,INR,FS-TRX-1023,Allocated,"	
Pay debit memo line",a04bm000005oon8AAA,Payment,a04bm000005oon8AAA,0aQbm0000002BCdEAM,780.5,0,780.5,0,0,2026-03-23T00:00:00.000+0000,2026-03-27T00:00:00.000+0000,Allocated,Pay debit memo line
001bm00001jIHQAAA4,2026-03-24T00:00:00.000+0000,3/24/2026,3/24/2026,3/28/2026,2200,2200,-5049.49,INR,FS-TRX-1024,Allocated,"	
Pay debit memo line",a04bm000005oon9AAA,Payment,a04bm000005oon9AAA,0aQbm0000002BCeEAM,2200,0,2200,0,0,2026-03-24T00:00:00.000+0000,2026-03-28T00:00:00.000+0000,Allocated,Pay debit memo line
001bm00001jIHQBAA4,2026-03-25T00:00:00.000+0000,3/25/2026,3/25/2026,3/29/2026,14.99,14.99,-5064.48,INR,FS-TRX-1025,Allocated,"	
Pay debit memo line",a04bm000005oonAAAQ,Payment,a04bm000005oonAAAQ,0aQbm0000002BCfEAM,14.99,0,14.99,0,0,2026-03-25T00:00:00.000+0000,2026-03-29T00:00:00.000+0000,Allocated,Pay debit memo line
001bm00001jIHQCAA4,2026-03-26T00:00:00.000+0000,3/26/2026,3/26/2026,3/30/2026,360,360,-5424.48,INR,FS-TRX-1026,Allocated,"	
Pay debit memo line",a04bm000005oonBAAQ,Payment,a04bm000005oonBAAQ,0aQbm0000002BCgEAM,360,0,360,0,0,2026-03-26T00:00:00.000+0000,2026-03-30T00:00:00.000+0000,Allocated,Pay debit memo line
001bm00001jIHQDAA4,2026-03-27T00:00:00.000+0000,3/27/2026,3/27/2026,3/31/2026,5000,5000,-10424.48,INR,FS-TRX-1027,Allocated,"	
Pay debit memo line",a04bm000005oonCAAQ,Payment,a04bm000005oonCAAQ,0aQbm0000002BChEAM,5000,0,5000,0,0,2026-03-27T00:00:00.000+0000,2026-03-31T00:00:00.000+0000,Allocated,Pay debit memo line
001bm00001jIHQEAA4,2026-03-28T00:00:00.000+0000,3/28/2026,3/28/2026,4/1/2026,89.9,89.9,-10514.38,INR,FS-TRX-1028,Allocated,"	
Pay debit memo line",a04bm000005oonDAAQ,Payment,a04bm000005oonDAAQ,0aQbm0000002BCiEAM,89.9,0,89.9,0,0,2026-03-28T00:00:00.000+0000,2026-04-01T00:00:00.000+0000,Allocated,Pay debit memo line
001bm00001jIHQFAA4,2026-03-29T00:00:00.000+0000,3/29/2026,3/29/2026,4/2/2026,129.99,129.99,-10644.37,INR,FS-TRX-1029,Allocated,"	
Pay debit memo line",a04bm000005oonEAAQ,Payment,a04bm000005oonEAAQ,0aQbm0000002BCjEAM,129.99,0,129.99,0,0,2026-03-29T00:00:00.000+0000,2026-04-02T00:00:00.000+0000,Allocated,Pay debit memo line
001bm00001jIHQGAA4,2026-03-30T00:00:00.000+0000,3/30/2026,3/30/2026,4/3/2026,1999,1999,-12643.37,INR,FS-TRX-1030,Allocated,"	
Pay debit memo line",a04bm000005oonFAAQ,Payment,a04bm000005oonFAAQ,0aQbm0000002BCkEAM,1999,0,1999,0,0,2026-03-30T00:00:00.000+0000,2026-04-03T00:00:00.000+0000,Allocated,Pay debit memo line
001bm00001jIHQHAA4,2026-03-31T00:00:00.000+0000,3/31/2026,3/31/2026,4/4/2026,15,15,-12658.37,INR,FS-TRX-1031,Allocated,"	
Pay debit memo line",a04bm000005oonGAAQ,Payment,a04bm000005oonGAAQ,0aQbm0000002BClEAM,15,0,15,0,0,2026-03-31T00:00:00.000+0000,2026-04-04T00:00:00.000+0000,Allocated,Pay debit memo line
001bm00001jIHQIAA4,2026-04-01T00:00:00.000+0000,4/1/2026,4/1/2026,4/5/2026,6000,6000,-18658.37,INR,FS-TRX-1032,Allocated,"	
Pay debit memo line",a04bm000005oonHAAQ,Payment,a04bm000005oonHAAQ,0aQbm0000002BCmEAM,6000,0,6000,0,0,2026-04-01T00:00:00.000+0000,2026-04-05T00:00:00.000+0000,Allocated,Pay debit memo line
001bm00001jIHQJAA4,2026-04-02T00:00:00.000+0000,4/2/2026,4/2/2026,4/6/2026,49.5,49.5,-18707.87,INR,FS-TRX-1033,Allocated,"	
Pay debit memo line",a04bm000005oonIAAQ,Payment,a04bm000005oonIAAQ,0aQbm0000002BCnEAM,49.5,0,49.5,0,0,2026-04-02T00:00:00.000+0000,2026-04-06T00:00:00.000+0000,Allocated,Pay debit memo line
001bm00001jIHQKAA4,2026-04-03T00:00:00.000+0000,4/3/2026,4/3/2026,4/7/2026,270,270,-18977.87,INR,FS-TRX-1034,Allocated,"	
Pay debit memo line",a04bm000005oonJAAQ,Payment,a04bm000005oonJAAQ,0aQbm0000002BCoEAM,270,0,270,0,0,2026-04-03T00:00:00.000+0000,2026-04-07T00:00:00.000+0000,Allocated,Pay debit memo line
001bm00001jIHQLAA4,2026-04-04T00:00:00.000+0000,4/4/2026,4/4/2026,4/8/2026,1500,1500,-20477.87,INR,FS-TRX-1035,Allocated,"	
Pay debit memo line",a04bm000005oonKAAQ,Payment,a04bm000005oonKAAQ,0aQbm0000002BCpEAM,1500,0,1500,0,0,2026-04-04T00:00:00.000+0000,2026-04-08T00:00:00.000+0000,Allocated,Pay debit memo line
001bm00001jIHQMAA4,2026-04-05T00:00:00.000+0000,4/5/2026,4/5/2026,4/9/2026,350,350,-20827.87,INR,FS-TRX-1036,Allocated,"	
Pay debit memo line",a04bm000005oonLAAQ,Payment,a04bm000005oonLAAQ,0aQbm0000002BCqEAM,350,0,350,0,0,2026-04-05T00:00:00.000+0000,2026-04-09T00:00:00.000+0000,Allocated,Pay debit memo line
001bm00001jIHQNAA4,2026-04-06T00:00:00.000+0000,4/6/2026,4/6/2026,4/10/2026,25,25,-20852.87,INR,FS-TRX-1037,Allocated,"	
Pay debit memo line",a04bm000005oonMAAQ,Payment,a04bm000005oonMAAQ,0aQbm0000002BCrEAM,25,0,25,0,0,2026-04-06T00:00:00.000+0000,2026-04-10T00:00:00.000+0000,Allocated,Pay debit memo line
001bm00001jIHQOAA4,2026-04-07T00:00:00.000+0000,4/7/2026,4/7/2026,4/11/2026,899.99,899.99,-21752.86,INR,FS-TRX-1038,Allocated,"	
Pay debit memo line",a04bm000005oonNAAQ,Payment,a04bm000005oonNAAQ,0aQbm0000002BCsEAM,899.99,0,899.99,0,0,2026-04-07T00:00:00.000+0000,2026-04-11T00:00:00.000+0000,Allocated,Pay debit memo line
001bm00001jIHQPAA4,2026-04-08T00:00:00.000+0000,4/8/2026,4/8/2026,4/12/2026,1200,1200,-22952.86,INR,FS-TRX-1039,Allocated,"	
Pay debit memo line",a04bm000005oonOAAQ,Payment,a04bm000005oonOAAQ,0aQbm0000002BCtEAM,1200,0,1200,0,0,2026-04-08T00:00:00.000+0000,2026-04-12T00:00:00.000+0000,Allocated,Pay debit memo line
001bm00001jIHQQAA4,2026-04-09T00:00:00.000+0000,4/9/2026,4/9/2026,4/13/2026,499.95,499.95,-23452.81,INR,FS-TRX-1040,Allocated,"	
Pay debit memo line",a04bm000005oonPAAQ,Payment,a04bm000005oonPAAQ,0aQbm0000002BCuEAM,499.95,0,499.95,0,0,2026-04-09T00:00:00.000+0000,2026-04-13T00:00:00.000+0000,Allocated,Pay debit memo line
001bm00001jIHQRAA4,2026-04-10T00:00:00.000+0000,4/10/2026,4/10/2026,4/14/2026,7000,7000,-30452.81,INR,FS-TRX-1041,Allocated,"	
Pay debit memo line",a04bm000005oonQAAQ,Payment,a04bm000005oonQAAQ,0aQbm0000002BCvEAM,7000,0,7000,0,0,2026-04-10T00:00:00.000+0000,2026-04-14T00:00:00.000+0000,Allocated,Pay debit memo line
001bm00001jIHQSAA4,2026-04-11T00:00:00.000+0000,4/11/2026,4/11/2026,4/15/2026,88,88,-30540.81,INR,FS-TRX-1042,Allocated,"	
Pay debit memo line",a04bm000005oonRAAQ,Payment,a04bm000005oonRAAQ,0aQbm0000002BCwEAM,,,,,,2026-04-11T00:00:00.000+0000,2026-04-15T00:00:00.000+0000,Allocated,Pay debit memo line
